type,habit_id,name,date,status,param_name,value
habit,1,Test1,,,,,
tracking,1,,2025-01-28,2,,
tracking,1,,2025-01-29,2,,
tracking,1,,2025-01-30,2,,
tracking,1,,2025-01-31,0,,
tracking,1,,2025-02-01,1,,
tracking,1,,2025-02-02,1,,
tracking,1,,2025-02-03,1,,
habit,3,Reading,,,,,
tracking,3,,2025-02-01,1,,
tracking,3,,2025-02-02,1,,
tracking,3,,2025-02-03,1,,
tracking,3,,2025-02-04,1,,
tracking,3,,2025-02-05,1,,
tracking,3,,2025-02-06,1,,
habit,4,Push-ups,,,,,
tracking,4,,2025-02-01,1,,
tracking,4,,2025-02-02,1,,
tracking,4,,2025-02-03,1,,
tracking,4,,2025-02-04,1,,
tracking,4,,2025-02-05,1,,
tracking,4,,2025-02-06,1,,
habit,5,English,,,,,
tracking,5,,2025-02-06,1,,
